"ori","agency","weight","tot"
"MS0110000","CLAIBORNE CO SO PORT GIBSON",1.3837610792787,1
"TX1120200","SULPHUR SPRINGS PD",1.3837610792787,1
"NJ0050700","NORTH WILDWOOD PD",1.38411920282234,1
"WI0020000","ASHLAND CO SO ASHLAND",1.3847017402706,1
"KY0400100","LANCASTER PD",1.38513270033058,1
"NC0120200","VALDESE PD",1.38513270033058,1
"OK0350100","TISHOMINGO",1.38513270033058,1
"OK0410300","STROUD",1.38513270033058,1
"TX1100000","HOCKLEY CO SO LEVELLAND",1.38513270033058,1
"WVWSP4600","STATE POLICE SOUTH CHARLESTON",1.38513270033058,1
"MA0020600","DALTON PD",1.38588341126896,1
"MA0141800","HARDWICK PD",1.38588341126896,1
"NY0065900","ELLICOTT TOWN PD FALCONER",1.38588341126896,1
"OK0612000","QUINTON",1.38632199473078,1
"WI0140300","HORICON PD",1.38762646249207,1
"MN0730200","MELROSE PD",1.38803163396596,1
"OR0250400","BOARDMAN",1.3880849234934,1
"TX1210100","JASPER PD",1.38813630823903,1
"AL0260200","DALEVILLE PD",1.38822516474885,1
"KY0250000","CLARK CO SO WINCHESTER",1.38822516474885,1
"KY0560300","SAINT MATTHEWS PD",1.38822516474885,1
"TN0140000","CLAY CO SO CELINA",1.38822516474885,1
"TN0360100","SAVANNAH PD",1.38822516474885,1
"TX2000000","RUNNELS CO SO BALLINGER",1.38822516474885,1
"NH0023400","WAKEFIELD PD",1.38898190360141,1
"VT0120500","BARRE TOWN PD",1.38898190360141,1
"AL0580700","RIVERSIDE PD",1.39059562976061,1
"AR0430500","AUSTIN PD",1.39059562976061,1
"AR0660000","SEBASTIAN CO SO FORT SMITH",1.39059562976061,1
"GA0720100","PINE MOUNTAIN PD",1.39059562976061,1
"KY0810100","MAYSVILLE PD",1.39059562976061,1
"KY1130100","MORGANFIELD PD",1.39059562976061,1
"LA0490800","KROTZ SPRINGS PD",1.39059562976061,1
"MS0480000","MONROE CO SO ABERDEEN",1.39059562976061,1
"NC0500000","JACKSON CO SO SYLVA",1.39059562976061,1
"NC0900100","MARSHVILLE PD",1.39059562976061,1
"TN0760000","SCOTT CO SO HUNTSVILLE",1.39059562976061,1
"WVWSP6100","STATE POLICE WINFIELD",1.39059562976061,1
"CT0001400","BRANFORD PD",1.39135698918684,1
"MA0100100","NANTUCKET PD",1.39135698918684,1
"NH0031400","HINSDALE PD",1.39135698918684,1
"NH0060600","BEDFORD PD",1.39135698918684,1
"NY0556100",NA,1.39135698918684,1
"NJ0153300","BARNEGAT TWP PD BARNEGAT",1.39201553102618,1
"NY0310000","NIAGARA CO SHERIFF'S DEPARTMENT LOCKPORT",1.39250591564126,1
"AL0011100","FULTONDALE PD",1.3930287439022,1
"AL0560300","WEDOWEE PD",1.39334715542497,1
"AR0310100","NASHVILLE PD",1.39334715542497,1
"OK0750000","WASHITA",1.39334715542497,1
"TN0700000","POLK CO SO BENTON",1.39334715542497,1
"VA0500200","WEST POINT PD",1.39334715542497,1
"MD0070100","HAMPSTEAD PD",1.39364184245963,1
"NH0030000","SO CHESHIRE COUNTY KEENE",1.39411387819845,1
"NJ0100600","CLINTON TWP PD ANNANDALE",1.39411387819845,1
"NJ0170500","PENNSVILLE TWP PD PENNSVILLE",1.39411387819845,1
"PA0210300","EAST PENNSBORO TOWNSHIP POLICE DEPARTMENT ENOLA",1.39411387819845,1
"NJ0023200","LYNDHURST TWP PD LYNDHURST",1.39440913964495,1
"NB0070100","ALLIANCE PD",1.3954568901726,1
"AL0510000","MONROE CO SO MONROEVILLE",1.3963780319191,1
"GA1150000","SO CEDARTOWN",1.39695121114956,1
"KY0150300","MT WASHINGTON PD",1.39695121114956,1
"SC0370200","WALHALLA PD",1.39695121114956,1
"TN0490200","HALLS PD",1.39695121114956,1
"TN0590300","CORNERSVILLE PD",1.39695121114956,1
"TN0770000","SEQUATCHIE CO SO DUNLAP",1.39695121114956,1
"TX1300100","BOERNE PD",1.39695121114956,1
"TX2500500","WINNSBORO PD",1.39695121114956,1
"VA0260000","DICKENSON CO SO CLINTWOOD",1.39695121114956,1
"VA1060000","COVINGTON PD",1.39695121114956,1
"MA0031500","REHOBOTH PD",1.39772495904466,1
"NY0110100","CORTLAND CITY PD CORTLAND",1.39772495904466,1
"PA0210800","NEW CUMBERLAND PD",1.39772495904466,1
"WA0311400","STANWOOD PD",1.39889550081635,1
"AR0740200","MCCRORY PD",1.39911061730951,1
"TN0530000","LOUDON CO SO LOUDON",1.39911061730951,1
"TX0160000","BLANCO COUNTY SHERIFFS OFFICE",1.39911061730951,1
"UT0090000","GARFIELD CO SO PANGUITCH",1.3991320534524,1
"NH0051400","BRISTOL PD",1.39988857437672,1
"NC0600800","UNC-CHARLOTTE POLICE & PUBLIC SAFETY CHARLOTTE",1.40085963009636,1
"MN0360100","INTERNATIONAL FALLS PD",1.40189157161759,1
"IL0163400","FLOSSMOOR PD",1.40289927406735,1
"IA0840500","SIOUX CENTER PD",1.40302440357667,1
"GA1010300","PELHAM PD",1.40327407926707,1
"MS0620200","MORTON PD",1.40327407926707,1
"MO0481100","SUGAR CREEK",1.40385659403976,1
"AL0110300","PIEDMONT PD",1.40417109612015,1
"AR0030300","GASSVILLE PD",1.40417109612015,1
"AR0160200","CARAWAY PD",1.40417109612015,1
"NC0430200","ANGIER PD",1.40417109612015,1
"NC0910000","VANCE CO SO HENDERSON",1.40417109612015,1
"OK0500200","DAVIS",1.40417109612015,1
"OK0611700","KIOWA",1.40417109612015,1
"TX2380000","WARD CO SO MONAHANS",1.40417109612015,1
"VA014SP00","SP: BUCHANAN COUNTY",1.40417109612015,1
"OK0451600","VALLIANT",1.40470997230044,1
"ME0160800","KENNEBUNK PD",1.40495891720772,1
"NH0011600","MEREDITH PD",1.40495891720772,1
"NH0072600","HENNIKER PD",1.40495891720772,1
"NJ0022900","LEONIA PD",1.40495891720772,1
"NJ0190600","FRANKLIN PD",1.40495891720772,1
"NY0552700","NEW PALTZ TOWN PD NEW PALTZ",1.40495891720772,1
"NH0101200","GRANTHAM PD",1.40629040044017,1
"NJ0025600","RUTHERFORD PD",1.40629040044017,1
"GA0560200","PEACHTREE CITY PD",1.4073231824001,1
"NC0890000","TYRRELL CO SO COLUMBIA",1.4073231824001,1
"MN0691400","VIRGINIA PD",1.40920131356125,1
"CT0014400","TRUMBULL PD",1.40945901494328,1
"KS0461700","SPRING HILL PD",1.41047484981497,1
"MI4726900","BRIGHTON PD",1.41047484981497,1
"MN0691000","HIBBING PD",1.41047484981497,1
"MO1040200","BERNIE",1.41047484981497,1
"OH0010000","ADAMS",1.41047484981497,1
"OH0501300","BEAVER TOWNSHIP",1.41047484981497,1
"OH0760600","HARTVILLE",1.41047484981497,1
"WI0120100","PRAIRIE DU CHIEN",1.41047484981497,1
"IL0810000","ROCK ISLAND CO SO ROCK ISLAND",1.41053903295981,1
"IL0990300","BRAIDWOOD PD",1.41053903295981,1
"KS0080000","BUTLER CO SO EL DORADO",1.41053903295981,1
"MN0710400","BECKER PD",1.41053903295981,1
"MO0620000","MADISON",1.41053903295981,1
"WI0670400","WEST BEND PD",1.41053903295981,1
"IA0510000","JEFFERSON CO SO FAIRFIELD",1.41133976286845,1
"NB0410000","HAMILTON CO SO AURORA",1.41133976286845,1
"OH0410000","JEFFERSON",1.41133976286845,1
"OH0480500","SYLVANIA",1.41133976286845,1
"OH0570800","MIAMISBURG",1.41133976286845,1
"IA0850300","STORY CITY PD",1.41149045158061,1
"KS0830000","RUSH CO SO LA CROSSE",1.41149045158061,1
"MO0280100","BOURBON",1.41149045158061,1
"SD0510300","BOX ELDER PD BOX ELDER",1.41149045158061,1
"TX0090100","MULESHOE PD",1.41202606240143,1
"AL0410400","ST FLORIAN PD FLORENCE",1.41222786494302,1
"AL0570000","RUSSELL CO SO PHENIX CITY",1.41222786494302,1
"AR0730700","JUDSONIA PD",1.41222786494302,1
"KY0630100","LONDON PD",1.41222786494302,1
"MDMSP2300",NA,1.41222786494302,1
"OK0552300",NA,1.41222786494302,1
"TX1014100","HEDWIG VILLAGE PD HOUSTON",1.41222786494302,1
"VA094SP00","SP: WASHINGTON COUNTY",1.41222786494302,1
"AL0020800","MT VERNON PD",1.41250011337787,1
"AR0230600","UNIV OF CENTRAL ARKANSAS POLICE DEPARTMENT",1.41250011337787,1
"AR0450300","FLIPPIN POLICE DEPARTMENT FLIPPIN",1.41250011337787,1
"NC0650300","WRIGHTSVILLE BEACH PD",1.41250011337787,1
"MA0031600","SEEKONK PD",1.41303139049941,1
"NH0087200","STRATHAM PD",1.41303139049941,1
"MI6352100","LATHRUP VILLAGE PD",1.41310839782664,1
"IL0168600","PALOS HILLS PD",1.41318211605759,1
"IN0190100","HUNTINGBURG PD",1.41318211605759,1
"IN0400100","NORTH VERNON PD",1.41318211605759,1
"MI2612600","GLADWIN CO SO GLADWIN",1.41318211605759,1
"MI2712700","GOGEBIC CO SO BESSEMER",1.41318211605759,1
"MN0240100","ALBERT LEA PD",1.41318211605759,1
"MO0250000","CLINTON",1.41318211605759,1
"NB0560000","LINCOLN CO SO NORTH PLATTE",1.41318211605759,1
"OH0260500","WAUSEON",1.41318211605759,1
"OH0800100","MARYSVILLE",1.41318211605759,1
"IL0990600","FRANKFORT PD",1.41329279634317,1
"MI8023100","BANGOR PD",1.41329279634317,1
"MN0790100","LAKE CITY PD",1.41329279634317,1
"MO0500100","CRYSTAL CITY",1.41329279634317,1
"WI0690200","NEW LONDON PD",1.41329279634317,1
"MA0070900","HOLLAND",1.41330416960818,1
"NH0010600","BELMONT PD",1.41330416960818,1
"OH0310200","AMBERLEY VILLAGE",1.41367609838219,1
"CO0490000","PITKIN",1.41443528786824,1
"TX1440100","GIDDINGS PD",1.41544278508395,1
"IL0640000","MASSAC CO SO METROPOLIS",1.41591447690231,1
"IL0901000","WASHINGTON PD",1.41591447690231,1
"MI3603600","SP: IRON COUNTY",1.41591447690231,1
