"year","agency","type","pop","tot","weight","add_weight","Low","High","TotRate","WeightRate","AddRate","LowRate","HighRate","ori"
2004,"ROCK HILL PD","City",56803,13,17.2105047914848,4.21050479148484,16.6923170990086,17.8427172469969,22.8861151699734,30.2985842147155,7.41246904474208,29.3863301216636,31.4115755276956,"SC0460300"
2005,"ROCK HILL PD","City",58688,21,27.7529013494201,6.75290134942011,27.0876703251542,28.6220914176266,35.7824427480916,47.2888858870981,11.5064431390064,46.1553815518577,48.7699213086603,"SC0460300"
2006,"ROCK HILL PD","City",60480,30,39.8324932472839,9.83249324728386,39.069556788176,40.8824155233335,49.6031746031746,65.8606039141598,16.2574293109852,64.5991349010846,67.5965865134483,"SC0460300"
2007,"ROCK HILL PD","City",63388,44,58.1122989378409,14.1122989378409,57.255959595987,59.5154219475611,69.4137691676658,91.6771296425837,22.2633604749179,90.3261809742964,93.8906763860054,"SC0460300"
2008,"ROCK HILL PD","City",66906,38,50.2686604301715,12.2686604301715,49.3120772094866,51.4518927073541,56.7961019938421,75.1332622338377,18.3371602399956,73.7035201767952,76.9017617363975,"SC0460300"
2009,"ROCK HILL PD","City",66530,19,25.0189601147364,6.01896011473639,24.4280131542368,25.8126925762877,28.5585450172854,37.6055315117036,9.04698649441815,36.7172901762164,38.798575945119,"SC0460300"
2011,"ROCK HILL PD","City",66924,6,7.97072725110406,1.97072725110406,7.59218340384898,8.44048130968883,8.9653935807782,11.9101178218637,2.94472424108549,11.3444853921597,12.6120394920938,"SC0460300"
2012,"ROCK HILL PD","City",68064,3,3.92190783482462,0.921907834824624,3.70353446397697,4.20315194979113,4.40761636107193,5.7620883797964,1.35447201872447,5.44125303240622,6.1752937673236,"SC0460300"
2013,"ROCK HILL PD","City",68617,4,5.11514345689025,1.11514345689025,4.87025475389849,5.41911214834039,5.82945917192532,7.45462998512066,1.62517081319534,7.09773781118162,7.89762325420871,"SC0460300"
2014,"ROCK HILL PD","City",69754,5,6.6645409237207,1.6645409237207,6.31611537758281,7.11237981200664,7.16804771052556,9.55434946199602,2.38630175147046,9.05484327433955,10.1963755655685,"SC0460300"
2015,"ROCK HILL PD","City",70860,6,8.98217475142161,2.98217475142161,8.2240908254745,10.6934883957146,8.46740050804403,12.6759451755879,4.2085446675439,11.6061118056372,15.0910081791062,"SC0460300"
2016,"ROCK HILL PD","City",72589,17,23.1493340415857,6.14933404158567,22.4694511708796,24.0757951641991,23.4195263745196,31.8909670082047,8.47144063368509,30.9543473127878,33.1672776373818,"SC0460300"
2017,"ROCK HILL PD","City",73319,10,13.4802572477931,3.48025724779306,12.9595920204524,14.0837944684906,13.6390294466646,18.3857625551263,4.74673310846173,17.675625718371,19.2089287476515,"SC0460300"
2018,"ROCK HILL PD","City",74049,21,27.9940680297476,6.99406802974763,27.3638153633071,28.9077875189152,28.3595997245067,37.804788761155,9.44518903664822,36.9536595542237,39.0387277598822,"SC0460300"
2019,"ROCK HILL PD","City",75342,34,47.3408297059684,13.3408297059684,46.1386937687367,49.4873289113163,45.1275516975923,62.8345805871471,17.7070288895548,61.2390084796483,65.6835880535642,"SC0460300"
2020,"ROCK HILL PD","City",76016,34,46.4297221487404,12.4297221487404,45.1991156970081,48.6543275142165,44.7274258050937,61.0788809576147,16.3514551525211,59.4600027586405,64.0053771761426,"SC0460300"
2022,"ROCK HILL PD","City",74047,54,73.4252186147073,19.4252186147073,72.0148437768455,76.1006927830615,72.92665469229,99.1602882151975,26.2336335229075,97.25558601543,102.773498971007,"SC0460300"
1997,"WESTMINSTER","City",91795,2,3.00054559816077,1.00054559816077,2.67929843448855,3.39334550925959,2.17876790674873,3.26874622600443,1.08997831925569,2.91878472083288,3.69665614604237,"CO0010500"
1998,"WESTMINSTER","City",96647,4,6.24935442549481,2.24935442549481,5.47141997214169,7.91027169119854,4.13877306072615,6.46616493579191,2.32739187506576,5.66124139615476,8.1847048446393,"CO0010500"
1999,"WESTMINSTER","City",97743,6,8.66504539893269,2.66504539893269,8.21291561184654,9.25742691955412,6.1385470059237,8.86513141496853,2.72658440904484,8.40256142316743,9.47119171659773,"CO0010500"
2004,"WESTMINSTER","City",104543,2,2.69793585592438,0.697935855924385,2.48570823058305,2.95222954802093,1.91308839424926,2.58069488719894,0.66760649294968,2.37768978370914,2.82393804273928,"CO0010500"
2005,"WESTMINSTER","City",106211,4,5.22656367891132,1.22656367891132,4.92051453359749,5.59007639928953,3.76608825827833,4.92092502557298,1.15483676729465,4.63277300241735,5.26318027256078,"CO0010500"
2006,"WESTMINSTER","City",107071,8,11.2773586474591,3.27735864745906,10.7457881604694,11.9461112022999,7.47167767182524,10.5325986004231,3.0609209285979,10.0361331830929,11.1571865419207,"CO0010500"
2007,"WESTMINSTER","City",106383,1,1.32319416222957,0.323194162229572,1.17330531363131,1.50652481281575,0.939999812000038,1.24380226373534,0.303802451735307,1.10290677423208,1.4161330408202,"CO0010500"
2008,"WESTMINSTER","City",106810,2,2.70532339002249,0.705323390022487,2.4953840413093,2.97961812325346,1.8724838498268,2.53283717818789,0.660353328361096,2.3362831582336,2.78964340722166,"CO0010500"
2009,"WESTMINSTER","City",107705,6,8.26279273213329,2.26279273213329,7.83282333419953,8.80435788626835,5.57077201615524,7.67168908790984,2.1009170717546,7.27247883960775,8.17451175550657,"CO0010500"
2010,"WESTMINSTER","City",106114,2,2.67520865574867,0.67520865574867,2.44193100515557,2.92883993342639,1.88476544094087,2.52107041083049,0.636304969889618,2.30123358383961,2.76008814428482,"CO0010500"
2011,"WESTMINSTER","City",107962,5,6.85859929673606,1.85859929673606,6.2867821712213,7.78143730036564,4.63125914673681,6.35279014536231,1.7215309986255,5.82314348680211,7.20757053441548,"CO0010500"
2012,"WESTMINSTER","City",109461,7,9.75574426003942,2.75574426003942,9.28086034153919,10.3704007093186,6.3949717250893,8.91252981430776,2.51755808921846,8.47869135266368,9.47405990199121,"CO0010500"
2013,"WESTMINSTER","City",110093,4,5.67118689540877,1.67118689540877,5.29924882597433,6.11624676264858,3.63329185325134,5.15126928633862,1.51797743308727,4.81342939694107,5.5555273838015,"CO0010500"
2014,"WESTMINSTER","City",112100,6,8.20274428479195,2.20274428479195,7.81931529312223,8.7055946172961,5.35236396074933,7.31734548152716,1.96498152077783,6.97530356210725,7.76591848108484,"CO0010500"
2015,"WESTMINSTER","City",113547,7,9.56386089144208,2.56386089144208,9.00175138234111,10.452889252955,6.1648480364959,8.42282129113238,2.25797325463648,7.92777561920712,9.20578196954122,"CO0010500"
2016,"WESTMINSTER","City",114514,14,19.2258992919545,5.22589929195449,18.608561911105,20.0437359355836,12.2255794051382,16.78912560207,4.56354619693181,16.2500322328318,17.5033060897214,"CO0010500"
2017,"WESTMINSTER","City",115155,9,12.5601605749406,3.56016057494064,12.0335067099103,13.2422527423521,7.81555295037124,10.9071777820682,3.09162483169697,10.4498343188835,11.4995030544501,"CO0010500"
2018,"WESTMINSTER","City",113751,12,17.8022925379357,5.80229253793572,16.72101338299,20.0010858863769,10.5493578078434,15.6502294818821,5.10087167403866,14.6996627572417,17.5832176300665,"CO0010500"
2019,"WESTMINSTER","City",114392,14,19.6571874397825,5.65718743978253,18.9768120181762,20.5063621882991,12.2386180851808,17.1840578360222,4.94543975084143,16.5892824831948,17.9263953670704,"CO0010500"
2020,"WESTMINSTER","City",113941,20,27.4363340806373,7.43633408063731,26.5757213940456,28.5037087190563,17.5529440675437,24.0794218767935,6.5264778092498,23.3241075592154,25.0162002431577,"CO0010500"
2021,"WESTMINSTER","City",115942,64,89.172252242279,25.172252242279,87.7976978970188,92.143073873204,55.2000138000035,76.9110867867373,21.7110729867339,75.7255333675621,79.4734210839937,"CO0010500"
2022,"WESTMINSTER","City",112844,53,73.7149774616378,20.7149774616378,72.1424963388237,76.3857360140565,46.9674949487788,65.3246760675249,18.357181118746,63.9311760827547,67.691446611301,"CO0010500"
2021,"HAMMOND PD","City",75666,77,105.733597318,28.7335973179997,104.257402216595,108.17762232968,101.763011127851,139.737262863108,37.9742517352571,137.786327038029,142.967280323632,"IN0450700"
2022,"HAMMOND PD","City",76366,54,74.0508031946231,20.0508031946231,72.7599515348855,76.2551268118562,70.7120970065212,96.9682884983148,26.2561914917936,95.2779398356409,99.8548134141584,"IN0450700"
1992,"BERKELEY CO SO MONCKS CORNER","County",85918,4,5.88385595611554,1.88385595611554,5.33285626005521,6.66447636247269,4.65560185292954,6.8482226729155,2.19262081998597,6.20691387142997,7.75678712548325,"SC0080000"
1993,"BERKELEY CO SO MONCKS CORNER","County",89324,6,9.74298226513352,3.74298226513352,8.97912619125677,10.9482029089402,6.71711969907304,10.9074630168079,4.1903433177349,10.0523109032922,12.2567315715151,"SC0080000"
1994,"BERKELEY CO SO MONCKS CORNER","County",89838,14,21.6923572725551,7.6923572725551,20.7015929815779,23.2717264366453,15.5836060464391,24.1460821395791,8.56247609313999,23.0432478256171,25.904101200656,"SC0080000"
